Sample ID,Description,Type,week,treatment,replicate
140224_Hiseq3B_l6_007,9W_C5,single-read,9,C,5
140224_Hiseq3B_l6_019,9W_H1,single-read,9,H,1
140224_Hiseq3B_l6_001,9W_H2,single-read,9,H,2
140224_Hiseq3B_l6_010,9W_H3,single-read,9,H,3
140224_Hiseq3B_l6_020,9W_H4,single-read,9,H,4
140224_Hiseq3B_l7_003,9W_H5,single-read,9,H,5
140224_Hiseq3B_l7_009,9W_T1,single-read,9,T,1
140224_Hiseq3B_l7_025,9W_T2,single-read,9,T,2
140224_Hiseq3B_l7_008,9W_T3,single-read,9,T,3
140224_Hiseq3B_l7_011,9W_T4,single-read,9,T,4
140224_Hiseq3B_l7_022,9W_T5,single-read,9,T,5
